Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-04-18 18:07:59 - 2568-04-18 18:12:17,36.557,Running,0.555,258.000,0.000,1.000,0.000,0.000,0.000,135.000,135.000
2568-04-19 07:11:18 - 2568-04-19 07:18:13,73.440,Running,1.369,415.000,,,,,,,
2568-04-19 07:30:11 - 2568-04-19 07:56:50,364.559,Running,5.121,1599.000,0.000,0.000,0.500,0.500,0.000,161.500,170.000
2568-04-20 13:40:16 - 2568-04-20 13:51:37,162.222,Running,2.365,681.000,0.000,0.000,0.000,1.000,0.000,163.000,163.000
2568-04-20 14:25:55 - 2568-04-20 14:30:48,90.279,Running,1.616,293.000,0.000,0.000,1.000,0.000,0.000,148.000,148.000
2568-04-21 17:39:30 - 2568-04-21 18:36:56,687.650,Running,10.015,3446.000,0.167,0.000,0.666,0.167,0.000,139.833,159.000
2568-04-22 17:52:16 - 2568-04-22 18:05:36,132.399,Running,2.452,800.000,0.000,1.000,0.000,0.000,0.000,126.000,126.000
2568-04-22 18:11:13 - 2568-04-22 18:15:42,80.749,Running,1.286,269.000,,,,,,,
2568-04-22 18:19:32 - 2568-04-22 18:23:58,78.732,Running,1.282,266.000,0.000,0.000,1.000,0.000,0.000,144.000,144.000
2568-04-22 18:29:20 - 2568-04-22 18:33:46,79.352,Running,1.284,266.000,0.000,0.000,1.000,0.000,0.000,150.000,150.000
2568-04-22 18:39:12 - 2568-04-22 18:43:39,81.412,Running,1.287,267.000,0.000,0.000,1.000,0.000,0.000,150.000,150.000
2568-04-22 18:49:10 - 2568-04-22 18:53:36,81.879,Running,1.271,266.000,0.000,0.000,0.000,1.000,0.000,156.000,156.000
2568-04-22 18:56:45 - 2568-04-22 19:03:52,81.303,Running,1.177,427.000,0.000,0.000,0.000,1.000,0.000,159.000,159.000
2568-04-23 17:39:07 - 2568-04-23 17:55:17,159.639,Running,2.613,970.000,0.500,0.500,0.000,0.000,0.000,115.000,135.000
2568-04-24 07:22:01 - 2568-04-24 07:54:34,346.086,Running,5.501,1953.000,0.000,0.333,0.667,0.000,0.000,137.667,147.000
2568-04-24 17:49:51 - 2568-04-24 18:02:36,133.856,Running,2.464,765.000,0.500,0.000,0.500,0.000,0.000,113.000,137.000
2568-04-24 18:08:16 - 2568-04-24 18:28:17,306.808,Running,5.118,1201.000,0.000,0.000,0.500,0.500,0.000,154.000,168.000
2568-04-24 18:34:01 - 2568-04-24 18:35:19,20.744,Running,0.423,78.000,,,,,,,
2568-04-24 18:39:18 - 2568-04-24 18:40:34,20.384,Running,0.422,76.000,0.000,1.000,0.000,0.000,0.000,134.000,134.000
2568-04-24 18:43:33 - 2568-04-24 18:44:48,20.011,Running,0.416,75.000,,,,,,,
2568-04-24 18:47:47 - 2568-04-24 18:49:03,20.375,Running,0.418,76.000,,,,,,,
2568-04-24 18:51:40 - 2568-04-24 18:52:57,20.598,Running,0.424,77.000,,,,,,,
2568-04-24 18:55:48 - 2568-04-24 19:04:16,105.961,Running,1.508,508.000,0.000,0.000,1.000,0.000,0.000,152.000,152.000
2568-04-25 06:59:35 - 2568-04-25 07:44:32,535.378,Running,8.014,2697.000,0.200,0.200,0.200,0.400,0.000,138.400,162.000
2568-04-26 07:37:45 - 2568-04-26 07:57:04,132.060,Running,2.403,1159.000,1.000,0.000,0.000,0.000,0.000,107.000,108.000
2568-04-26 08:05:58 - 2568-04-26 08:08:02,35.767,Running,0.622,124.000,,,,,,,
2568-04-26 08:11:05 - 2568-04-26 08:13:07,34.112,Running,0.619,122.000,,,,,,,
2568-04-26 08:16:08 - 2568-04-26 08:18:12,34.754,Running,0.624,124.000,,,,,,,
2568-04-26 08:22:16 - 2568-04-26 08:24:21,35.670,Running,0.627,125.000,,,,,,,
2568-04-26 08:28:03 - 2568-04-26 08:30:06,35.990,Running,0.622,123.000,0.000,0.000,0.000,1.000,0.000,157.000,157.000
2568-04-26 08:32:36 - 2568-04-26 08:41:44,121.227,Running,1.609,548.000,0.000,0.000,1.000,0.000,0.000,155.000,155.000
2568-04-26 17:37:54 - 2568-04-26 17:50:58,132.857,Running,2.505,784.000,0.500,0.000,0.500,0.000,0.000,121.000,138.000
2568-04-26 17:59:53 - 2568-04-26 18:04:03,75.397,Running,1.201,250.000,0.000,1.000,0.000,0.000,0.000,122.000,122.000
2568-04-26 18:07:59 - 2568-04-26 18:12:08,75.434,Running,1.200,249.000,0.000,0.000,1.000,0.000,0.000,145.000,145.000
2568-04-26 18:16:36 - 2568-04-26 18:17:50,20.168,Running,0.416,74.000,,,,,,,
2568-04-26 18:19:55 - 2568-04-26 18:21:10,20.090,Running,0.424,75.000,0.000,0.000,1.000,0.000,0.000,151.000,151.000
2568-04-26 18:23:03 - 2568-04-26 18:24:18,20.613,Running,0.420,75.000,,,,,,,
2568-04-26 18:26:35 - 2568-04-26 18:27:50,20.736,Running,0.424,75.000,,,,,,,
2568-04-26 18:29:49 - 2568-04-26 18:31:03,20.385,Running,0.420,74.000,0.000,0.000,1.000,0.000,0.000,150.000,150.000
2568-04-27 17:00:53 - 2568-04-27 18:25:04,979.171,Running,16.012,5051.000,0.000,0.250,0.500,0.250,0.000,145.000,165.000
2568-04-28 17:50:34 - 2568-04-28 18:48:42,644.754,Running,10.010,3488.000,0.000,0.200,0.800,0.000,0.000,141.600,147.000
