Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-02-15 17:43:43 - 2568-02-15 17:45:01,21.491,Running,0.400,78.000,,,,,,,
2568-02-15 17:47:35 - 2568-02-15 17:48:53,20.971,Running,0.400,78.000,,,,,,,
2568-02-15 17:51:07 - 2568-02-15 17:52:24,20.240,Running,0.400,77.000,,,,,,,
2568-02-15 17:55:11 - 2568-02-15 17:56:30,21.922,Running,0.400,79.000,,,,,,,
2568-02-15 18:02:21 - 2568-02-15 18:03:40,21.757,Running,0.400,79.000,,,,,,,
2568-02-15 18:07:08 - 2568-02-15 18:08:27,21.518,Running,0.400,79.000,,,,,,,
2568-02-15 18:11:26 - 2568-02-15 18:12:44,21.118,Running,0.400,78.000,,,,,,,
2568-02-15 18:15:36 - 2568-02-15 18:16:55,21.706,Running,0.400,79.000,,,,,,,
2568-02-15 18:19:35 - 2568-02-15 18:20:53,21.665,Running,0.400,78.000,0.000,0.000,1.000,0.000,0.000,143.000,143.000
2568-02-15 18:24:17 - 2568-02-15 18:25:36,21.022,Running,0.400,79.000,,,,,,,
2568-02-15 18:28:31 - 2568-02-15 18:29:49,21.284,Running,0.400,78.000,,,,,,,
2568-02-15 18:33:02 - 2568-02-15 18:34:12,18.808,Running,0.400,70.000,,,,,,,
2568-02-15 18:36:39 - 2568-02-15 18:54:04,181.223,Running,2.648,1045.000,0.000,0.000,1.000,0.000,0.000,140.000,144.000
2568-02-16 17:35:27 - 2568-02-16 18:27:54,651.015,Running,9.997,3147.000,0.200,0.000,0.400,0.400,0.000,144.600,164.000
2568-02-17 16:48:14 - 2568-02-17 17:26:38,449.468,Running,7.018,2304.000,0.250,0.000,0.750,0.000,0.000,137.500,154.000
2568-02-18 17:22:20 - 2568-02-18 17:52:54,308.578,Running,5.020,1834.000,0.000,0.667,0.000,0.333,0.000,138.333,161.000
2568-02-18 18:06:11 - 2568-02-18 18:09:49,65.076,Running,1.016,218.000,,,,,,,
2568-02-18 18:14:07 - 2568-02-18 18:17:48,65.870,Running,1.024,221.000,,,,,,,
2568-02-18 18:22:27 - 2568-02-18 18:26:07,66.683,Running,1.022,220.000,,,,,,,
2568-02-18 18:31:50 - 2568-02-18 18:35:31,66.459,Running,1.011,221.000,,,,,,,
2568-02-18 18:41:44 - 2568-02-18 18:45:28,66.907,Running,1.012,224.000,,,,,,,
2568-02-18 18:55:37 - 2568-02-18 18:59:24,66.330,Running,1.009,227.000,,,,,,,
2568-02-18 19:05:08 - 2568-02-18 19:13:08,138.151,Running,2.017,480.000,0.000,0.000,1.000,0.000,0.000,141.000,141.000
2568-02-18 19:22:43 - 2568-02-18 19:26:47,68.672,Running,1.026,244.000,,,,,,,
2568-02-18 19:29:33 - 2568-02-18 19:48:20,229.199,Running,3.010,1127.000,0.000,0.000,1.000,0.000,0.000,149.500,153.000
2568-02-20 18:18:39 - 2568-02-20 18:43:46,303.804,Running,5.023,1507.000,0.000,0.333,0.333,0.334,0.000,143.333,156.000
2568-02-20 18:53:40 - 2568-02-20 19:21:19,483.823,Running,7.023,1659.000,0.000,0.000,0.667,0.333,0.000,150.000,167.000
2568-02-20 19:35:12 - 2568-02-20 19:36:26,19.445,Running,0.409,74.000,,,,,,,
2568-02-20 19:40:23 - 2568-02-20 19:41:42,22.512,Running,0.425,79.000,,,,,,,
2568-02-20 19:45:29 - 2568-02-20 19:46:48,21.985,Running,0.423,79.000,,,,,,,
2568-02-20 19:49:14 - 2568-02-20 19:50:33,22.139,Running,0.416,79.000,0.000,0.000,1.000,0.000,0.000,151.000,151.000
2568-02-20 19:55:04 - 2568-02-20 19:56:21,21.626,Running,0.405,77.000,,,,,,,
2568-02-21 07:20:33 - 2568-02-21 08:00:37,261.680,Running (Indoor),6.714,2404.000,0.000,0.250,0.750,0.000,0.000,133.750,141.000
2568-02-22 07:56:58 - 2568-02-22 07:58:21,9.213,Running,0.207,83.000,,,,,,,
2568-02-22 17:34:45 - 2568-02-22 18:00:37,306.022,Running,5.013,1552.000,0.000,0.333,0.334,0.333,0.000,142.667,157.000
2568-02-23 07:55:24 - 2568-02-23 08:25:55,308.570,Running,5.011,1831.000,0.000,0.667,0.333,0.000,0.000,132.000,143.000
2568-02-23 08:36:07 - 2568-02-23 08:39:00,46.056,Running,0.721,173.000,,,,,,,
2568-02-23 17:37:46 - 2568-02-23 18:04:28,326.100,Running,5.268,1602.000,0.000,0.334,0.333,0.333,0.000,141.333,159.000
2568-02-23 18:10:42 - 2568-02-23 18:14:43,67.342,Running,1.011,241.000,,,,,,,
2568-02-24 16:40:46 - 2568-02-24 17:24:51,520.954,Running,8.011,2645.000,0.000,0.000,1.000,0.000,0.000,146.000,154.000
2568-02-25 17:09:39 - 2568-02-25 17:34:48,306.579,Running,5.023,1509.000,0.333,0.334,0.333,0.000,0.000,124.667,146.000
2568-02-25 17:56:25 - 2568-02-25 18:03:56,139.036,Running,2.154,451.000,0.000,1.000,0.000,0.000,0.000,129.000,129.000
2568-02-25 18:13:53 - 2568-02-25 18:21:33,142.191,Running,2.148,460.000,0.000,0.000,1.000,0.000,0.000,136.000,136.000
2568-02-25 18:34:20 - 2568-02-25 18:38:58,82.659,Running,1.252,278.000,,,,,,,
2568-02-25 18:44:26 - 2568-02-25 18:49:02,82.139,Running,1.249,276.000,,,,,,,
2568-02-25 18:55:49 - 2568-02-25 19:00:31,82.838,Running,1.247,282.000,0.000,1.000,0.000,0.000,0.000,128.000,128.000
2568-02-25 19:07:13 - 2568-02-25 19:12:03,83.241,Running,1.251,290.000,0.000,1.000,0.000,0.000,0.000,127.000,127.000
2568-02-25 19:18:25 - 2568-02-25 19:21:47,57.010,Running,0.862,202.000,0.000,1.000,0.000,0.000,0.000,135.000,135.000
2568-02-25 19:24:36 - 2568-02-25 19:28:44,48.923,Running,0.758,248.000,,,,,,,
2568-02-27 07:36:53 - 2568-02-27 08:31:04,578.249,Running,10.019,3251.000,0.167,0.167,0.666,0.000,0.000,137.167,150.000
2568-02-27 16:55:10 - 2568-02-27 17:22:26,300.880,Running,5.006,1636.000,0.000,0.333,0.667,0.000,0.000,136.667,147.000
2568-02-27 17:34:47 - 2568-02-27 18:03:34,510.329,Running,7.495,1727.000,0.000,0.333,0.667,0.000,0.000,134.000,141.000
2568-02-27 18:15:01 - 2568-02-27 18:16:18,21.705,Running,0.406,77.000,,,,,,,
2568-02-27 18:19:07 - 2568-02-27 18:20:24,21.409,Running,0.403,77.000,0.000,1.000,0.000,0.000,0.000,135.000,135.000
2568-02-27 18:23:44 - 2568-02-27 18:25:00,21.294,Running,0.400,76.000,,,,,,,
2568-02-27 18:28:57 - 2568-02-27 18:30:13,20.657,Running,0.402,76.000,0.000,0.000,1.000,0.000,0.000,141.000,141.000
2568-02-27 18:32:25 - 2568-02-27 18:33:41,20.043,Running,0.401,76.000,,,,,,,
2568-02-27 18:38:21 - 2568-02-27 18:53:03,164.890,Running,2.506,882.000,0.000,0.000,1.000,0.000,0.000,145.000,150.000
2568-02-28 17:51:09 - 2568-02-28 18:30:12,418.191,Running,6.599,2343.000,0.000,0.250,0.750,0.000,0.000,140.750,147.000
