Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-07-17 18:11:56 - 2568-07-17 18:13:14,18.156,Running,0.417,78.000,,,,,,,
2568-07-17 18:15:11 - 2568-07-17 18:16:28,18.955,Running,0.420,77.000,,,,,,,
2568-07-17 18:18:24 - 2568-07-17 18:54:04,426.469,Running,6.130,2140.000,0.000,0.000,0.750,0.250,0.000,151.500,156.000
2568-07-18 17:51:27 - 2568-07-18 18:06:21,123.541,Running,2.263,894.000,0.000,1.000,0.000,0.000,0.000,130.000,130.000
2568-07-20 17:40:23 - 2568-07-20 17:53:23,154.557,Running,2.397,780.000,0.000,0.000,1.000,0.000,0.000,149.000,149.000
2568-07-20 17:58:45 - 2568-07-20 18:49:33,715.364,Running,10.610,3048.000,0.000,0.000,0.200,0.600,0.200,165.600,176.000
2568-07-21 17:49:16 - 2568-07-21 18:44:40,668.495,Running,10.007,3324.000,0.167,0.000,0.500,0.333,0.000,143.833,163.000
2568-07-22 16:23:50 - 2568-07-22 16:57:16,267.918,Running,4.495,2006.000,0.000,0.000,1.000,0.000,0.000,146.667,152.000
2568-07-22 17:01:00 - 2568-07-22 17:05:11,73.042,Running,1.219,251.000,,,,,,,
2568-07-22 17:12:16 - 2568-07-22 17:15:08,47.325,Running,0.809,172.000,,,,,,,
2568-07-22 17:21:10 - 2568-07-22 17:24:00,49.331,Running,0.812,170.000,,,,,,,
2568-07-22 17:31:40 - 2568-07-22 17:33:07,22.620,Running,0.427,87.000,,,,,,,
2568-07-22 17:38:55 - 2568-07-22 17:40:15,21.391,Running,0.417,80.000,0.000,0.000,1.000,0.000,0.000,144.000,144.000
2568-07-22 17:41:54 - 2568-07-22 17:43:16,22.289,Running,0.423,82.000,,,,,,,
2568-07-22 17:45:47 - 2568-07-22 17:47:07,21.932,Running,0.422,80.000,,,,,,,
2568-07-22 17:50:27 - 2568-07-22 17:51:49,21.193,Running,0.425,82.000,,,,,,,
2568-07-22 18:01:36 - 2568-07-22 18:02:58,22.947,Running,0.423,82.000,,,,,,,
2568-07-22 18:07:09 - 2568-07-22 18:08:30,20.839,Running,0.421,81.000,,,,,,,
2568-07-22 18:12:59 - 2568-07-22 18:14:19,21.933,Running,0.428,80.000,,,,,,,
2568-07-22 18:17:55 - 2568-07-22 18:21:56,48.666,Running,0.716,241.000,0.000,0.000,1.000,0.000,0.000,139.000,139.000
2568-07-23 18:08:11 - 2568-07-23 18:29:11,149.217,Running (Indoor),4.022,1260.000,0.000,0.500,0.500,0.000,0.000,127.500,138.000
2568-07-24 17:07:48 - 2568-07-24 17:30:51,241.037,Running,4.277,1383.000,0.000,0.333,0.667,0.000,0.000,133.333,147.000
2568-07-24 17:43:33 - 2568-07-24 17:44:50,17.445,Running,0.422,77.000,,,,,,,
2568-07-24 17:47:15 - 2568-07-24 17:48:32,16.622,Running,0.426,77.000,,,,,,,
2568-07-24 17:50:45 - 2568-07-24 17:52:00,19.704,Running,0.421,75.000,,,,,,,
2568-07-24 17:54:20 - 2568-07-24 17:55:38,17.541,Running,0.425,78.000,,,,,,,
2568-07-24 17:57:28 - 2568-07-24 17:58:45,18.002,Running,0.425,77.000,,,,,,,
2568-07-24 18:01:05 - 2568-07-24 18:02:22,17.858,Running,0.427,77.000,,,,,,,
2568-07-24 18:04:31 - 2568-07-24 18:05:46,18.394,Running,0.421,75.000,,,,,,,
2568-07-24 18:08:03 - 2568-07-24 18:09:19,20.405,Running,0.426,76.000,,,,,,,
2568-07-24 18:11:37 - 2568-07-24 18:12:53,20.958,Running,0.425,76.000,,,,,,,
2568-07-24 18:15:17 - 2568-07-24 18:16:32,19.176,Running,0.421,75.000,,,,,,,
2568-07-24 18:19:03 - 2568-07-24 18:20:19,20.508,Running,0.422,76.000,0.000,0.000,1.000,0.000,0.000,150.000,150.000
2568-07-24 18:22:03 - 2568-07-24 18:23:20,19.658,Running,0.423,77.000,,,,,,,
2568-07-24 18:25:34 - 2568-07-24 18:26:51,20.018,Running,0.424,77.000,,,,,,,
2568-07-24 18:29:11 - 2568-07-24 18:30:26,20.816,Running,0.421,75.000,0.000,0.000,1.000,0.000,0.000,155.000,155.000
2568-07-24 18:32:33 - 2568-07-24 18:33:50,20.685,Running,0.421,77.000,,,,,,,
2568-07-24 18:35:54 - 2568-07-24 18:37:04,19.552,Running,0.412,70.000,,,,,,,
2568-07-24 18:45:00 - 2568-07-24 18:53:46,62.151,Running,0.893,526.000,0.000,0.000,1.000,0.000,0.000,140.000,140.000
2568-07-25 17:49:03 - 2568-07-25 18:40:02,470.208,Running,8.650,3059.000,0.167,0.833,0.000,0.000,0.000,124.667,134.000
2568-07-26 17:40:05 - 2568-07-26 18:04:07,270.210,Running,4.797,1442.000,0.000,0.000,1.000,0.000,0.000,144.000,150.000
2568-07-26 18:15:26 - 2568-07-26 18:34:53,319.707,Running,5.005,1167.000,0.000,0.500,0.000,0.000,0.500,155.000,179.000
2568-07-26 18:40:42 - 2568-07-26 18:46:08,72.373,Running,0.903,326.000,,,,,,,
2568-07-27 08:30:42 - 2568-07-27 08:50:15,197.690,Running,3.430,1173.000,0.000,0.500,0.500,0.000,0.000,135.000,143.000
2568-07-27 17:32:51 - 2568-07-27 17:38:47,57.691,Running,1.143,356.000,,,,,,,
2568-07-27 17:49:05 - 2568-07-27 18:06:02,216.851,Running,3.824,1017.000,0.500,0.000,0.500,0.000,0.000,127.000,155.000
